Gene_Name,mean_RNA_G1,mean_RNA_S,mean_RNA_G2,mean_protein_G1,mean_protein_S,mean_protein_G2,GOBP,GOMF,GOCC
MDC1,9.598898,9.523198667,10.00604,22.24373667,19.36366,22.65154667,biological regulation;cell cycle;cell cycle checkpoint;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;cellular response to stress;DNA damage checkpoint;DNA integrity checkpoint;DNA metabolic process;DNA recombination;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;intra-S DNA damage checkpoint;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;recombinational repair;regulation of biological process;regulation of cell cycle;regulation of cell cycle arrest;regulation of cell cycle process;regulation of cellular process;response to DNA damage stimulus;response to stimulus;response to stress,binding;FHA domain binding;protein binding;protein C-terminus binding;protein domain specific binding,adherens junction;anchoring junction;cell junction;cell part;cell-substrate adherens junction;cell-substrate junction;focal adhesion;intracellular organelle part;intracellular part;nuclear part;nucleoplasm;organelle part
ACO2,11.41763333,11.47104,11.51179667,26.28999333,24.46749333,26.74366333,acetyl-CoA catabolic process;acetyl-CoA metabolic process;carboxylic acid metabolic process;catabolic process;cellular catabolic process;cellular ketone metabolic process;cellular metabolic process;cellular process;citrate metabolic process;coenzyme catabolic process;coenzyme metabolic process;cofactor catabolic process;cofactor metabolic process;metabolic process;organic acid metabolic process;oxoacid metabolic process;small molecule metabolic process;tricarboxylic acid cycle;tricarboxylic acid metabolic process,"4 iron, 4 sulfur cluster binding;aconitate hydratase activity;binding;carbon-oxygen lyase activity;catalytic activity;cation binding;citrate hydro-lyase (cis-aconitate-forming) activity;hydro-lyase activity;ion binding;iron ion binding;iron-sulfur cluster binding;isocitrate hydro-lyase (cis-aconitate-forming) activity;lyase activity;metal cluster binding;metal ion binding;transition metal ion binding",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;mitochondrion;nucleus;organelle;organelle lumen;organelle part
BAG2,11.34124,11.56618667,11.52775,28.38083333,25.81824667,28.36837667,cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein folding;protein metabolic process,binding;chaperone binding;protein binding,
TGM2,8.939794,8.327841333,8.609990667,26.61711667,23.26328667,26.07037333,apoptotic cell clearance;biological regulation;cellular component organization;cellular component organization or biogenesis;cellular macromolecule metabolic process;cellular membrane organization;cellular metabolic process;cellular process;cellular protein metabolic process;endocytosis;establishment of localization;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;metabolic process;peptide cross-linking;phagocytosis;positive regulation of biological process;positive regulation of cell adhesion;positive regulation of cellular process;primary metabolic process;protein metabolic process;protein modification process;regulation of biological process;regulation of cell adhesion;regulation of cellular process;transport;vesicle-mediated transport,"binding;catalytic activity;cation binding;ion binding;metal ion binding;protein-glutamine gamma-glutamyltransferase activity;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring amino-acyl groups",
STMN1,11.87049,11.88838,11.76116667,29.27927333,25.84958333,28.79275333,anatomical structure development;biological regulation;cell cycle process;cell differentiation;cellular component disassembly;cellular component disassembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular macromolecular complex disassembly;cellular macromolecular complex subunit organization;cellular process;cellular protein complex disassembly;cellular response to stimulus;cytoskeleton organization;developmental process;intracellular signal transduction;macromolecular complex disassembly;macromolecular complex subunit organization;microtubule cytoskeleton organization;microtubule depolymerization;microtubule polymerization or depolymerization;microtubule-based process;mitotic spindle organization;multi-organism process;nervous system development;organelle organization;protein complex disassembly;protein complex subunit organization;protein depolymerization;regulation of biological process;regulation of cellular process;response to biotic stimulus;response to other organism;response to stimulus;response to virus;signal transduction;spindle organization;system development,binding;cytoskeletal protein binding;molecular transducer activity;protein binding;signal transducer activity;tubulin binding,axon;cell part;cell projection;cell projection part;cytoplasm;cytoplasmic part;cytoskeletal part;Golgi apparatus;growth cone;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;microtubule;neuron projection;organelle;organelle part;protein complex;site of polarized growth
RALGAPB,10.98802667,10.80268333,11.02585,19.6453,20.19817,20.06959333,activation of Ral GTPase activity;activation of Ras GTPase activity;biological regulation;positive regulation of catalytic activity;positive regulation of GTPase activity;positive regulation of hydrolase activity;positive regulation of molecular function;positive regulation of Ral GTPase activity;positive regulation of Ras GTPase activity;regulation of biological process;regulation of catabolic process;regulation of catalytic activity;regulation of cellular catabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of GTP catabolic process;regulation of GTPase activity;regulation of hydrolase activity;regulation of metabolic process;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide catabolic process;regulation of nucleotide metabolic process;regulation of primary metabolic process;regulation of purine nucleotide catabolic process;regulation of Ral GTPase activity;regulation of Ras GTPase activity;regulation of response to stimulus;regulation of signal transduction;regulation of signaling;regulation of small GTPase mediated signal transduction,binding;enzyme activator activity;enzyme regulator activity;GTPase activator activity;GTPase regulator activity;nucleoside-triphosphatase regulator activity;protein binding;protein dimerization activity;protein heterodimerization activity;Ral GTPase activator activity;Ras GTPase activator activity;small GTPase regulator activity,cell part;intracellular
RTFDC1,10.27994333,10.005983,10.04579,25.38377,22.20758667,25.41747,,,
RPRD1B,10.50102,10.61499667,10.46619667,27.62033,24.66403333,27.60397667,"biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;dephosphorylation;dephosphorylation of RNA polymerase II C-terminal domain;macromolecule metabolic process;macromolecule modification;metabolic process;phosphate-containing compound metabolic process;phosphorus metabolic process;primary metabolic process;protein dephosphorylation;protein metabolic process;protein modification process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent",,"cell part;DNA-directed RNA polymerase II, holoenzyme;intracellular organelle part;intracellular part;macromolecular complex;nuclear part;nucleoplasm part;organelle part;protein complex"
NFS1,11.29092333,11.36323333,11.36615,25.13734,22.89287,25.01133333,amine metabolic process;aromatic compound biosynthetic process;biosynthetic process;carboxylic acid metabolic process;cellular amine metabolic process;cellular amino acid metabolic process;cellular aromatic compound metabolic process;cellular biosynthetic process;cellular component assembly;cellular component organization;cellular component organization or biogenesis;cellular ketone metabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound metabolic process;cellular process;cellular protein metabolic process;coenzyme biosynthetic process;coenzyme metabolic process;cofactor biosynthetic process;cofactor metabolic process;cysteine metabolic process;heterocycle biosynthetic process;heterocycle metabolic process;iron incorporation into metallo-sulfur cluster;iron-sulfur cluster assembly;macromolecular complex assembly;macromolecular complex subunit organization;macromolecule metabolic process;macromolecule modification;metabolic process;metal incorporation into metallo-sulfur cluster;metallo-sulfur cluster assembly;molybdopterin cofactor biosynthetic process;molybdopterin cofactor metabolic process;Mo-molybdopterin cofactor biosynthetic process;Mo-molybdopterin cofactor metabolic process;nitrogen compound metabolic process;organic acid metabolic process;oxoacid metabolic process;primary metabolic process;prosthetic group metabolic process;protein complex assembly;protein complex subunit organization;protein metabolic process;protein modification process;pteridine-containing compound biosynthetic process;pteridine-containing compound metabolic process;serine family amino acid metabolic process;small molecule metabolic process;sulfur amino acid metabolic process;sulfur compound metabolic process;vitamin metabolic process;water-soluble vitamin metabolic process,"binding;catalytic activity;cofactor binding;cysteine desulfurase activity;identical protein binding;protein binding;protein dimerization activity;protein homodimerization activity;pyridoxal phosphate binding;sulfurtransferase activity;transferase activity;transferase activity, transferring sulfur-containing groups;vitamin B6 binding;vitamin binding",cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;membrane-bounded organelle;membrane-enclosed lumen;mitochondrial matrix;mitochondrial part;nucleus;organelle;organelle lumen;organelle part
CTNNBL1,9.481806667,9.211678333,9.313993,27.04381,24.51752667,26.83696333,apoptosis;biological regulation;cell death;cellular process;death;immune system process;positive regulation of apoptosis;positive regulation of biological process;positive regulation of cell death;positive regulation of cellular process;positive regulation of programmed cell death;programmed cell death;regulation of apoptosis;regulation of biological process;regulation of cell death;regulation of cellular process;regulation of programmed cell death;somatic diversification of immune receptors;somatic diversification of immunoglobulins,binding;enzyme binding;protein binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
AAR2,10.80152333,11.05792667,11.16375333,24.61375667,22.10245333,24.82462,,,
GNAI2,11.52916,11.51398333,11.50599,24.88391667,22.39961667,25.05677667,"activation of adenylate cyclase activity;activation of adenylate cyclase activity by dopamine receptor signaling pathway;activation of adenylate cyclase activity by G-protein signaling pathway;adenosine receptor signaling pathway;biological regulation;blood coagulation;cAMP-mediated signaling;cell activation;cell communication;cell cycle;cell division;cell surface receptor linked signaling pathway;cell-cell signaling;cellular metabolic process;cellular process;cellular response to chemical stimulus;cellular response to endogenous stimulus;cellular response to glucagon stimulus;cellular response to hormone stimulus;cellular response to organic substance;cellular response to peptide hormone stimulus;cellular response to stimulus;coagulation;cyclic-nucleotide-mediated signaling;detection of abiotic stimulus;detection of chemical stimulus;detection of chemical stimulus involved in sensory perception;detection of chemical stimulus involved in sensory perception of bitter taste;detection of chemical stimulus involved in sensory perception of taste;detection of external stimulus;detection of light stimulus;detection of light stimulus involved in sensory perception;detection of light stimulus involved in visual perception;detection of stimulus;detection of stimulus involved in sensory perception;detection of visible light;dopamine receptor signaling pathway;energy derivation by oxidation of organic compounds;energy reserve metabolic process;establishment of localization;establishment of localization in cell;establishment of protein localization;female pregnancy;fluid transport;gamma-aminobutyric acid signaling pathway;generation of precursor metabolites and energy;G-protein coupled purinergic receptor signaling pathway;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to cAMP nucleotide second messenger;G-protein signaling, coupled to cyclic nucleotide second messenger;hemostasis;inhibition of adenylate cyclase activity by G-protein signaling pathway;intracellular signal transduction;intracellular transport;metabolic process;multicellular organismal process;multi-organism process;muscle contraction;muscle system process;negative regulation of adenylate cyclase activity;negative regulation of biological process;negative regulation of calcium ion transport;negative regulation of calcium ion transport via voltage-gated calcium channel activity;negative regulation of catalytic activity;negative regulation of cyclase activity;negative regulation of cyclic-nucleotide phosphodiesterase activity;negative regulation of hydrolase activity;negative regulation of ion transmembrane transporter activity;negative regulation of ion transport;negative regulation of lyase activity;negative regulation of molecular function;negative regulation of transport;negative regulation of transporter activity;neurological system process;oxidation-reduction process;phototransduction;phototransduction, visible light;platelet activation;positive regulation of adenylate cyclase activity;positive regulation of adenylate cyclase activity by G-protein signaling pathway;positive regulation of catalytic activity;positive regulation of cyclase activity;positive regulation of lyase activity;positive regulation of molecular function;protein secretion;protein transport;purinergic receptor signaling pathway;regulation of adenylate cyclase activity;regulation of adenylate cyclase activity involved in G-protein signaling pathway;regulation of biological process;regulation of biological quality;regulation of biosynthetic process;regulation of body fluid levels;regulation of calcium ion transport;regulation of calcium ion transport via voltage-gated calcium channel activity;regulation of cAMP biosynthetic process;regulation of cAMP metabolic process;regulation of catalytic activity;regulation of cell communication;regulation of cellular biosynthetic process;regulation of cellular localization;regulation of cellular metabolic process;regulation of cellular process;regulation of cyclase activity;regulation of cyclic nucleotide biosynthetic process;regulation of cyclic nucleotide metabolic process;regulation of cyclic-nucleotide phosphodiesterase activity;regulation of hormone secretion;regulation of hydrolase activity;regulation of insulin secretion;regulation of ion transmembrane transport;regulation of ion transmembrane transporter activity;regulation of ion transport;regulation of localization;regulation of lyase activity;regulation of metabolic process;regulation of metal ion transport;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide biosynthetic process;regulation of nucleotide metabolic process;regulation of peptide hormone secretion;regulation of peptide secretion;regulation of peptide transport;regulation of primary metabolic process;regulation of secretion;regulation of signaling;regulation of transmembrane transport;regulation of transmembrane transporter activity;regulation of transport;regulation of transporter activity;reproductive process;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to glucagon stimulus;response to hormone stimulus;response to light stimulus;response to nutrient;response to nutrient levels;response to organic substance;response to peptide hormone stimulus;response to radiation;response to stimulus;rhodopsin mediated phototransduction;second-messenger-mediated signaling;secretion;secretion by cell;sensory perception;sensory perception of chemical stimulus;sensory perception of smell;sensory perception of sweet taste;sensory perception of taste;sensory perception of umami taste;signal transduction;signaling;synaptic transmission;system process;transmembrane transport;transport;water transport","acyl binding;adenylate cyclase activity;binding;catalytic activity;cation binding;cyclase activity;enzyme binding;enzyme regulator activity;GDP binding;glutamate receptor binding;G-protein beta/gamma-subunit complex binding;G-protein coupled photoreceptor activity;G-protein coupled receptor activity;G-protein-coupled receptor binding;GTP binding;GTPase activity;GTPase regulator activity;guanyl nucleotide binding;guanyl ribonucleotide binding;guanyl-nucleotide exchange factor activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;hydrolase activity, acting on ester bonds;ion binding;ionotropic glutamate receptor binding;kinase binding;lipase activity;lyase activity;metabotropic serotonin receptor binding;metal ion binding;molecular transducer activity;mu-type opioid receptor binding;nucleoside-triphosphatase activity;nucleoside-triphosphatase regulator activity;nucleotide binding;opioid receptor binding;phosphatidylinositol phospholipase C activity;phospholipase activity;phospholipase C activity;phosphoric diester hydrolase activity;phosphoric ester hydrolase activity;phosphorus-oxygen lyase activity;photoreceptor activity;protein binding;protein complex binding;protein kinase binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;receptor activity;receptor binding;ribonucleotide binding;signal transducer activity;signaling receptor activity;transmembrane signaling receptor activity",cell part;cell projection;cell projection part;centrosome;cilium;cilium part;cytoplasm;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;cytoskeletal part;extracellular region;extrinsic to internal side of plasma membrane;extrinsic to membrane;extrinsic to plasma membrane;Golgi apparatus part;Golgi membrane;heterotrimeric G-protein complex;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to membrane;macromolecular complex;membrane;membrane part;membrane-bounded organelle;membrane-bounded vesicle;microtubule organizing center;midbody;non-membrane-bounded organelle;nonmotile primary cilium;nucleus;organelle;organelle membrane;organelle part;photoreceptor inner segment;photoreceptor outer segment;photoreceptor outer segment membrane;plasma membrane;plasma membrane part;primary cilium;protein complex;ruffle;trans-Golgi network membrane;transport vesicle;vesicle
RRBP1,9.368756,8.938744667,9.423220667,25.33794667,22.75802667,25.32463333,biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to stimulus;establishment of localization;establishment of protein localization;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;protein transport;regulation of biological process;regulation of cellular process;response to stimulus;signal transduction;translation;transport,receptor activity,cell part;cytoplasmic part;endoplasmic reticulum part;integral to endoplasmic reticulum membrane;integral to membrane;integral to organelle membrane;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to endoplasmic reticulum membrane;intrinsic to membrane;intrinsic to organelle membrane;macromolecular complex;membrane part;non-membrane-bounded organelle;organelle;organelle part;ribonucleoprotein complex;ribosome
NQO2,12.39027667,12.47307667,12.34254667,27.42657667,24.44682333,27.98348667,,"binding;catalytic activity;cation binding;coenzyme binding;cofactor binding;dihydronicotinamide riboside quinone reductase activity;electron carrier activity;ion binding;metal ion binding;NADPH dehydrogenase (quinone) activity;NADPH dehydrogenase activity;oxidoreductase activity;oxidoreductase activity, acting on NADH or NADPH",cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
RBM34,10.13842333,10.31690667,10.04961667,21.15503667,19.11963333,21.05866,,binding;nucleic acid binding;nucleotide binding;RNA binding,cell part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part
UBAP2,11.87542667,11.76393333,12.19741,25.15344333,22.47255667,25.36062,,,
ZNF217,10.04086433,10.59534667,9.828213667,19.70628,17.52735667,20.07586667,"biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent",binding;cation binding;DNA binding;ion binding;metal ion binding;nucleic acid binding;nucleic acid binding transcription factor activity;protein binding;regulatory region DNA binding;regulatory region nucleic acid binding;sequence-specific DNA binding transcription factor activity;transcription regulatory region DNA binding;transition metal ion binding;zinc ion binding,cell part;chromatin remodeling complex;histone deacetylase complex;intracellular;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear part;nucleoplasm part;nucleus;organelle;organelle part;protein complex
